segment_name,department,sales_value,baskets,households,segment_sales,segment_baskets,segment_households,sales_share_pct,basket_penetration_pct,household_penetration_pct,overall_sales_share_pct,sales_share_index_vs_all
High-basket-value established shoppers,DELI/SNACK BAR,13.89,5,5,3470600.52,83753,881,0.00040021892234373316,0.005969935405298915,0.5675368898978433,0.0004477846932050583,0.8937753532375817
High-basket-value established shoppers,GARDEN CENTER,2763.92,209,127,3470600.52,83753,881,0.07963809098950979,0.24954329994149463,14.415437003405222,0.09516442423092047,0.8368472949120631
High-basket-value established shoppers,PHARMACY SUPPLY,5.97,2,1,3470600.52,83753,881,0.00017201634027300843,0.0023879741621195658,0.11350737797956867,0.0002099921565695562,0.8191560250776846
High-basket-value established shoppers,MISC SALES TRAN,40567.35,2011,575,3470600.52,83753,881,1.1688856083038908,2.4011080200112236,65.26674233825199,1.4888101360384294,0.7851139510738254
High-basket-value established shoppers,PROD-WHS SALES,2.52,3,1,3470600.52,83753,881,7.260991247704879e-05,0.003581961243179349,0.11350737797956867,9.33298473642472e-05,0.7779924057270472
High-basket-value established shoppers,KIOSK-GAS,168987.67,6093,505,3470600.52,83753,881,4.86911901920651,7.2749632848972565,57.32122587968218,6.754279564444494,0.7208939121854324
High-basket-value established shoppers,MISC. TRANS.,3206.98,816,411,3470600.52,83753,881,0.09240418139509758,0.9742934581447829,46.651532349602725,0.13253198241357883,0.6972217551740939
High-basket-value established shoppers,MEAT-WHSE,2.0,2,2,3470600.52,83753,881,5.762691466432443e-05,0.0023879741621195658,0.22701475595913734,8.687618770608117e-05,0.6633223232502714
High-basket-value established shoppers,CNTRL/STORE SUP,13.0,9,8,3470600.52,83753,881,0.0003745749453181088,0.010745883729538046,0.9080590238365494,0.0006087538581404688,0.6153142855838399
High-value loyal shoppers,GRO BAKERY,2.18,1,1,3199080.0100000002,128723,440,6.814459135706331e-05,0.000776861943863956,0.22727272727272727,2.7055727028465277e-05,2.5186752987775387
High-value loyal shoppers,VIDEO,34.769999999999996,3,3,3199080.0100000002,128723,440,0.0010868749731582986,0.002330585831591868,0.6818181818181818,0.0004315264352200631,2.5186752987775383
High-value loyal shoppers,MEAT-WHSE,5.0,4,3,3199080.0100000002,128723,440,0.00015629493430519107,0.003107447775455824,0.6818181818181818,8.687618770608117e-05,1.7990537848410988
High-value loyal shoppers,CNTRL/STORE SUP,33.95,6,6,3199080.0100000002,128723,440,0.0010612426039322475,0.004661171663183736,1.3636363636363635,0.0006087538581404688,1.7433032903873076
High-value loyal shoppers,PROD-WHS SALES,5.0,1,1,3199080.0100000002,128723,440,0.00015629493430519107,0.000776861943863956,0.22727272727272727,9.33298473642472e-05,1.674651129506342
High-value loyal shoppers,PHARMACY SUPPLY,10.95,4,3,3199080.0100000002,128723,440,0.0003422859061283684,0.003107447775455824,0.6818181818181818,0.0002099921565695562,1.6299937660528394
High-value loyal shoppers,DELI/SNACK BAR,22.19,6,5,3199080.0100000002,128723,440,0.0006936369184464379,0.004661171663183736,1.1363636363636365,0.0004477846932050583,1.5490411552071393
High-value loyal shoppers,KIOSK-GAS,304373.84,12540,352,3199080.0100000002,128723,440,9.514417865403747,9.741848776054008,80.0,6.754279564444494,1.4086502897346773
High-value loyal shoppers,MISC SALES TRAN,64958.85,2976,375,3199080.0100000002,128723,440,2.0305478386581517,2.3119411449391327,85.22727272727273,1.4888101360384294,1.3638729274514685
High-value loyal shoppers,MISC. TRANS.,5670.11,1047,276,3199080.0100000002,128723,440,0.17724189399064139,0.8133744552255618,62.727272727272734,0.13253198241357883,1.3373518660389532
High-value loyal shoppers,GARDEN CENTER,4067.14,269,108,3199080.0100000002,128723,440,0.12713467582200294,0.20897586289940415,24.545454545454547,0.09516442423092047,1.3359475124181417
